%time motor_speed control_signal
0 0 0
1.00000000001e-05 0 0
1.99999999999e-05 -7.4112458482e-09 -5
3e-05 -3.70557121002e-08 -5
3.99999999999e-05 -9.63430932071e-08 -5
5e-05 -1.85271320705e-07 -5
6e-05 -3.03838326231e-07 -5
6.99999999999e-05 -4.5204204152e-07 -5
7.99999999999e-05 -6.29880398408e-07 -5
9e-05 -8.37351328828e-07 -5
0.0001 -1.07445276481e-06 -5
0.00011 -1.3411826385e-06 -5
0.00012 -1.63753888212e-06 -5
0.000129999999999 -1.96351942801e-06 -5
0.000139999999999 -2.3191222086e-06 -5
0.000149999999999 -2.70434515641e-06 -5
0.000159999999999 -3.11918620409e-06 -5
0.00017 -3.56364328436e-06 -5
0.00018 -4.03771433005e-06 -5
0.00019 -4.54139727409e-06 -5
0.0002 -5.07469004951e-06 -5
0.00021 -5.63759058944e-06 -5
0.00022 -6.23009682711e-06 -5
0.00023 -6.85220669583e-06 -5
0.00024 -7.50391812905e-06 -5
0.00025 -8.18522906028e-06 -5
0.000259999999999 -8.89613742315e-06 -5
0.00027 -9.63664115139e-06 -5
0.000279999999999 -1.04067381788e-05 -5
0.00029 -1.12064264393e-05 -5
0.000299999999999 -1.2035703867e-05 -5
0.000309999999999 -1.28945683959e-05 -5
0.000319999999999 -1.37830179603e-05 -5
0.000329999999999 -1.47010504946e-05 -5
0.00034 -1.5648663933e-05 -5
0.000349999999999 -1.66258562102e-05 -5
0.00036 -1.76326252607e-05 -5
0.000369999999999 -1.86689690194e-05 -5
0.00038 -1.97348854209e-05 -5
0.000389999999999 -2.08303724003e-05 -5
0.0004 -2.19554278924e-05 -5
0.000409999999999 -2.31100498326e-05 -5
0.00042 -2.42942361559e-05 -5
0.000429999999999 -2.55079847977e-05 -5
0.00044 -2.67512936933e-05 -5
0.000449999999999 -2.80241607784e-05 -5
0.00046 -2.93265839886e-05 -5
0.000469999999999 -3.06585612594e-05 -5
0.00048 -3.20200905268e-05 -5
0.000489999999999 -3.34111697267e-05 -5
0.0005 -3.4831796795e-05 -5
0.00051 -3.62819696679e-05 -5
0.000519999999999 -3.77054795089e-05 32.919921875
0.000529999999999 -3.89899146308e-05 32.919921875
0.00054 -4.00790779632e-05 32.919921875
0.00055 -4.09729831297e-05 32.919921875
0.000559999999999 -4.16716437533e-05 32.919921875
0.000569999999999 -4.21750734565e-05 32.919921875
0.00058 -4.2483285861e-05 32.919921875
0.00059 -4.25962945878e-05 32.919921875
0.000599999999999 -4.25141132575e-05 32.919921875
0.000609999999999 -4.22367554897e-05 32.919921875
0.000619999999999 -4.17642349036e-05 32.919921875
0.00063 -4.10965651176e-05 32.919921875
0.000639999999999 -4.02337597496e-05 32.919921875
0.000649999999999 -3.91758324166e-05 32.919921875
0.000659999999999 -3.79227967353e-05 32.919921875
0.00067 -3.64746663214e-05 32.919921875
0.00068 -3.483145479e-05 32.919921875
0.000689999999999 -3.29931757558e-05 32.919921875
0.000699999999999 -3.09598428327e-05 32.919921875
0.00071 -2.87314696337e-05 32.919921875
0.00072 -2.63080697715e-05 32.919921875
0.000729999999999 -2.36896568581e-05 32.919921875
0.000739999999999 -2.08762445046e-05 32.919921875
0.00075 -1.78678463216e-05 32.919921875
0.00076 -1.46644759192e-05 32.919921875
0.000769999999999 -1.12661469065e-05 32.919921875
0.000779999999999 -7.6728728923e-06 32.919921875
0.00079 -3.88466748446e-06 32.919921875
0.0008 9.84557096518e-08 32.919921875
0.000809999999999 4.27648308336e-06 32.919921875
0.000819999999999 8.64940103066e-06 32.919921875
0.00083 1.32171959461e-05 32.919921875
0.00084 1.79798542252e-05 32.919921875
0.00085 2.29373622637e-05 32.919921875
0.000859999999999 2.80897064583e-05 32.919921875
0.00087 3.34368732062e-05 32.919921875
0.00088 3.89788489053e-05 32.919921875
0.00089 4.47156199543e-05 32.919921875
0.000899999999999 5.06471727522e-05 32.919921875
0.00091 5.67734936991e-05 32.919921875
0.00092 6.30945691954e-05 32.919921875
0.00093 6.96103856423e-05 32.919921875
0.000939999999999 7.63209294417e-05 32.919921875
0.000949999999999 8.3226186996e-05 32.919921875
0.00096 9.03261447084e-05 32.919921875
0.00097 9.76207889826e-05 32.919921875
0.000979999999999 0.000105110106223 32.919921875
0.000989999999999 0.000112794082835 32.919921875
0.001 0.000120672705224 32.919921875
0.00101 0.000128745959797 32.919921875
0.00102 0.000137013832961 32.919921875
0.00102999999999 0.000145476311123 32.919921875
0.00103999999999 0.000154133380692 32.919921875
0.00104999999999 0.000162985028077 32.919921875
0.00105999999999 0.000172031239687 32.919921875
0.00106999999999 0.000181272001933 32.919921875
0.00108 0.000190707301226 32.919921875
0.00109 0.000200337123978 32.919921875
0.0011 0.0002101614566 32.919921875
0.00110999999999 0.000220180285507 32.919921875
0.00111999999999 0.00023039359711 32.919921875
0.00112999999999 0.000240801377826 32.919921875
0.00113999999999 0.000251403614068 32.919921875
0.00114999999999 0.000262200292252 32.919921875
0.00116 0.000273191398794 32.919921875
0.00117 0.000284376920112 32.919921875
0.00118 0.000295756842623 32.919921875
0.00119 0.000307331152744 32.919921875
0.00119999999999 0.000319099836896 32.919921875
0.00120999999999 0.000331062881496 32.919921875
0.00121999999999 0.000343220272967 32.919921875
0.00122999999999 0.000355571997727 32.919921875
0.00123999999999 0.0003681180422 32.919921875
0.00125 0.000380858392806 32.919921875
0.00126 0.000393793035969 32.919921875
0.00127 0.000406921958112 32.919921875
0.00127999999999 0.000420245145659 32.919921875
0.00128999999999 0.000433762585035 32.919921875
0.00129999999999 0.000447474262665 32.919921875
0.00130999999999 0.000461380164976 32.919921875
0.00131999999999 0.000475480278393 32.919921875
0.00133 0.000489774589345 32.919921875
0.00134 0.000504263084259 32.919921875
0.00135 0.000518945749563 32.919921875
0.00136 0.000533822571689 32.919921875
0.00136999999999 0.000548893537064 32.919921875
0.00137999999999 0.00056415863212 32.919921875
0.00138999999999 0.000579617843288 32.919921875
0.00139999999999 0.000595271157 32.919921875
0.00141 0.000611118559689 32.919921875
0.00142 0.000627160037787 32.919921875
0.00143 0.000643395577729 32.919921875
0.00144 0.000659825165949 32.919921875
0.00144999999999 0.000676448788883 32.919921875
0.00145999999999 0.000693266432966 32.919921875
0.00146999999999 0.000710278084634 32.919921875
0.00147999999999 0.000727483730325 32.919921875
0.00149 0.000744883356477 32.919921875
0.0015 0.000762476949527 32.919921875
0.00151 0.000780264495916 32.919921875
0.00152 0.000798245982082 32.919921875
0.00153 0.000816421394467 32.919921875
0.00153999999999 0.000834790719511 32.919921875
0.00154999999999 0.000853353943657 32.919921875
0.00155999999999 0.000872111053345 32.919921875
0.00156999999999 0.00089106203502 32.919921875
0.00158 0.000910206875125 32.919921875
0.00159 0.000929545560105 32.919921875
0.0016 0.000949078076403 32.919921875
0.00161 0.000968804410467 32.919921875
0.00161999999999 0.000988724548742 32.919921875
0.00162999999999 0.00100883847767 32.919921875
